Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9,inv_status,timestamp,dc_power_smb/0,dc_power_smb/1
2023/02/07,13:10:00,6,86.5,86.5,583.0,153.0,89.2,0,96.97,163884.0,2.0,555.0,139.0,140.0,137.0,0,49.95,213.0,208.0,211.0,0,48.0,2.7,1.0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675755600.0,,
2023/02/07,13:11:00,6,85.08,85.08,580.0,153.0,88.74,0,95.88,163885.0,1.0,556.0,138.0,140.0,136.0,0,49.92,212.0,209.0,210.0,0,48.0,3.66,1.0,-3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675755660.0,,
2023/02/07,13:12:00,6,85.18,85.18,577.0,153.0,88.28,0,96.49,163887.0,2.0,558.0,138.0,139.0,136.0,0,49.91,212.0,208.0,210.0,0,48.0,3.1,1.0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675755720.0,,
2023/02/07,13:13:00,6,85.75,85.75,580.0,153.0,88.74,0,96.63,163888.0,1.0,559.0,138.0,140.0,136.0,0,49.95,213.0,209.0,210.0,0,48.0,2.99,1.0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675755780.0,,
2023/02/07,13:14:00,6,86.95,86.95,578.0,156.0,90.17,0,96.43,163889.0,1.0,560.0,141.0,142.0,139.0,0,49.96,213.0,208.0,210.0,0,48.0,3.22,1.0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675755840.0,,
2023/02/07,13:15:00,6,89.16,89.16,578.0,159.0,91.9,0,97.02,163891.0,2.0,562.0,143.0,144.0,141.0,0,49.95,213.0,208.0,210.0,0,48.0,2.74,1.0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675755900.0,,
2023/02/07,13:16:00,6,88.89,88.89,582.0,158.0,91.96,0,96.66,163892.0,1.0,563.0,144.0,145.0,141.0,0,49.98,213.0,209.0,210.0,0,48.0,3.07,1.0,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675755960.0,,
2023/02/07,13:17:00,6,88.09,88.09,578.0,158.0,91.32,0,96.46,163894.0,2.0,565.0,142.0,144.0,140.0,0,50.01,213.0,209.0,210.0,0,48.0,3.23,1.0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675756020.0,,
2023/02/07,13:18:00,6,87.68,87.68,578.0,157.0,90.75,0,96.62,163895.0,1.0,566.0,142.0,143.0,140.0,0,50.04,212.0,208.0,210.0,0,48.0,3.07,1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675756080.0,,
2023/02/07,13:19:00,6,87.29,87.29,579.0,156.0,90.32,0,96.65,163897.0,2.0,568.0,140.0,141.0,138.0,0,50.05,214.0,210.0,212.0,0,48.0,3.03,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675756140.0,,
2023/02/07,13:20:00,6,87.68,87.68,578.0,158.0,91.32,0,96.01,163898.0,1.0,569.0,141.0,142.0,139.0,0,50.08,214.0,210.0,212.0,0,48.0,3.64,1.0,-3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675756200.0,,
