Date,Time,freq,fwd_run_secs,i_b,i_r,i_y,kvah_f,kvah_r,kvarh_f,kvarh_r,kwh_f,kwh_f_5min,kwh_f_today,kwh_r,pf,pow_act,pow_app,pow_react,rev_run_secs,v_br,v_ry,v_yb
2023/02/07,11:50:00,50.01,1511522550.0,25.41,24.25,24.8,3485963.52,0.0,0,0,3456065.28,48.64,7423.74,0.0,-1.0,2926.16,2937.21,-140.09,0,68378.99,68482.39,67793.73
2023/02/07,13:10:00,49.97,1826160886.0,25.63,24.63,24.97,3489997.82,0.0,0,0,3460091.9,50.17,11450.36,0.0,-1.0,3018.52,3023.41,-157.4,0,69558.5,69879.99,69034.44
2023/02/07,13:11:00,49.95,1830093046.0,25.7,24.71,25.02,3490049.02,0.0,0,0,3460143.1,51.2,11501.56,0.0,-1.0,3023.61,3028.44,-159.84,0,69524.69,69826.16,69007.74
2023/02/07,13:12:00,49.94,1834025206.0,25.75,24.75,25.07,3490099.46,0.0,0,0,3460193.54,50.44,11552.0,0.0,-1.0,3027.19,3032.12,-158.21,0,69469.21,69798.12,68956.97
2023/02/07,13:13:00,49.97,1837957366.0,25.73,24.7,25.01,3490150.14,0.0,0,0,3460243.97,50.43,11602.43,0.0,-1.0,3023.62,3027.92,-160.21,0,69523.64,69842.72,68978.2
2023/02/07,13:14:00,49.98,1841889526.0,25.72,24.72,25.04,3490200.58,0.0,0,0,3460294.4,50.43,11652.86,0.0,-1.0,3025.19,3030.03,-159.26,0,69527.62,69843.84,68982.49
2023/02/07,13:15:00,49.97,1845821686.0,25.83,24.83,25.23,3490251.26,0.0,0,0,3460344.83,50.43,11703.29,0.0,-1.0,3038.98,3045.74,-164.28,0,69566.17,69893.58,69044.59
2023/02/07,13:16:00,50.01,1849753846.0,26.0,25.08,25.35,3490302.21,0.0,0,0,3460395.78,50.95,11754.24,0.0,-1.0,3058.73,3068.5,-164.04,0,69514.8,69877.17,69022.62
2023/02/07,13:17:00,50.04,1853686006.0,26.09,25.26,25.43,3490353.41,0.0,0,0,3460446.72,50.94,11805.18,0.0,-1.0,3071.14,3081.38,-165.72,0,69641.99,69797.12,68961.8
2023/02/07,13:18:00,50.06,1857618166.0,26.31,25.29,25.62,3490404.86,0.0,0,0,3460498.18,51.46,11856.64,0.0,-1.0,3089.75,3098.63,-170.24,0,69570.82,69735.66,69093.8
2023/02/07,13:19:00,50.07,1861550326.0,26.09,25.13,25.4,3490456.58,0.0,0,0,3460549.63,51.45,11908.09,0.0,-1.0,3095.24,3100.53,-173.12,0,70233.48,70400.11,69654.56
2023/02/07,13:20:00,50.09,1865482486.0,26.02,25.05,25.34,3490508.03,0.0,0,0,3460601.09,51.46,11959.55,0.0,-1.0,3087.98,3093.74,-169.27,0,70188.97,70444.49,69611.36
2023/02/07,13:21:00,50.09,1869414646.0,25.99,25.01,25.4,3490559.74,0.0,0,0,3460652.54,51.45,12011.0,0.0,-1.0,3085.84,3092.02,-169.83,0,70135.67,70430.11,69443.31
2023/02/07,13:22:00,50.07,1873412342.0,26.04,25.06,25.46,3490611.2,0.0,0,0,3460704.0,51.46,12062.46,0.0,-1.0,3091.45,3096.94,-172.96,0,70147.63,70366.23,69628.01
2023/02/07,13:23:00,50.07,1877344502.0,26.05,25.05,25.43,3490662.91,0.0,0,0,3460755.46,51.46,12113.92,0.0,-1.0,3088.34,3093.79,-172.11,0,70085.09,70368.21,69405.56
2023/02/07,13:24:00,50.07,1881276662.0,26.01,25.0,25.4,3490714.37,0.0,0,0,3460806.91,51.45,12165.37,0.0,-1.0,3080.79,3089.37,-172.16,0,70223.62,70310.87,69632.57
2023/02/07,13:25:00,50.05,1885208822.0,25.99,24.97,25.35,3490765.82,0.0,0,0,3460858.37,51.46,12216.83,0.0,-1.0,3078.48,3083.56,-168.25,0,69924.0,70304.92,69233.99
2023/02/07,14:24:00,50.06,2117271798.0,23.96,23.05,23.4,3493674.75,0.0,0,0,3463762.18,46.34,15120.64,0.0,-1.0,2781.71,2793.71,-118.79,0,68739.6,68976.27,68293.05
2023/02/07,14:27:00,50.02,2129068278.0,23.94,23.02,23.36,3493814.02,0.0,0,0,3463901.44,46.34,15259.9,0.0,-1.0,2787.78,2791.08,-121.18,0,68806.75,69101.21,68314.6
2023/02/07,14:28:00,49.97,2133000438.0,23.94,22.98,23.33,3493860.61,0.0,0,0,3463948.03,46.59,15306.49,0.0,-1.0,2781.83,2785.18,-118.32,0,68597.64,68809.26,68033.98
2023/02/07,14:29:00,49.99,2136932598.0,23.75,22.75,23.15,3493906.69,0.0,0,0,3463994.11,46.08,15352.57,0.0,-1.0,2756.94,2760.41,-115.43,0,68676.35,68879.3,68169.23
2023/02/07,14:33:00,50.06,2152661238.0,23.34,22.43,22.72,3494088.96,0.0,0,0,3464176.13,45.31,15534.59,0.0,-1.0,2710.69,2713.44,-105.14,0,68564.9,68873.64,68220.45
2023/02/07,14:34:00,50.06,2156593398.0,23.41,22.52,22.77,3494134.02,0.0,0,0,3464221.18,45.05,15579.64,0.0,-1.0,2711.81,2718.61,-103.2,0,68655.16,68799.63,67966.17
2023/02/07,14:35:00,50.06,2160525558.0,23.41,22.47,22.8,3494179.33,0.0,0,0,3464266.5,45.32,15624.96,0.0,-1.0,2713.38,2716.6,-107.15,0,68462.02,68850.48,67986.71
2023/02/07,14:36:00,50.05,2164457718.0,23.42,22.48,22.8,3494224.64,0.0,0,0,3464311.81,45.31,15670.27,0.0,-1.0,2715.91,2718.88,-107.91,0,68561.3,68816.73,68180.63
2023/02/07,14:37:00,50.01,2168389878.0,23.48,22.61,22.89,3494269.95,0.0,0,0,3464356.86,45.05,15715.32,0.0,-1.0,2720.24,2726.74,-105.97,0,68491.66,68652.71,67892.35
