Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9,ac_power_set,pf_set,power_limit_flag
2023/02/07,13:10:00,1,47.96,47.95,684.6,85.4,50.22,,95.5,197899.0,0.9,196.1,64.8,65.2,65.3,0,49.97,246.1,244.7,246.1,0,64.6,2.26,1.0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,594.8,590.0,593.6,574.2,,,,,,,,,,,,,,,,,21.2,21.3,21.2,21.7,,,,,,,,,,,,,,,,,21.2,21.3,21.2,21.7,,,,,,,12.61,12.57,12.58,12.46,,,,,,,594.8,590.0,593.6,574.2,,,,,,,61.83,1.0,0
2023/02/07,13:11:00,1,47.38,47.37,686.4,84.6,49.69,,95.35,197899.0,0.7,196.8,63.9,64.0,64.6,0,49.92,246.7,245.3,246.8,0,64.8,2.31,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,588.8,592.8,586.5,581.5,,,,,,,,,,,,,,,,,21.1,21.1,21.2,21.2,,,,,,,,,,,,,,,,,21.1,21.1,21.2,21.2,,,,,,,12.42,12.51,12.43,12.33,,,,,,,588.8,592.8,586.5,581.5,,,,,,,63.04,1.0,0
2023/02/07,13:12:00,1,47.09,47.08,686.7,83.8,49.37,,95.38,197900.0,0.8,197.6,64.0,63.9,63.9,0,49.91,246.6,245.0,246.7,0,64.3,2.28,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,592.7,596.0,589.8,578.1,,,,,,,,,,,,,,,,,20.9,20.8,20.9,21.2,,,,,,,,,,,,,,,,,20.9,20.8,20.9,21.2,,,,,,,12.39,12.4,12.33,12.26,,,,,,,592.7,596.0,589.8,578.1,,,,,,,58.96,1.0,0
2023/02/07,13:13:00,1,46.93,46.92,684.3,83.0,49.14,,95.5,197901.0,0.8,198.4,63.9,63.9,64.0,0,49.95,246.0,244.3,245.5,0,64.1,2.21,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,595.4,591.2,594.5,587.3,,,,,,,,,,,,,,,,,20.8,20.8,20.7,20.7,,,,,,,,,,,,,,,,,20.8,20.8,20.7,20.7,,,,,,,12.38,12.3,12.31,12.16,,,,,,,595.4,591.2,594.5,587.3,,,,,,,60.03,1.0,0
2023/02/07,13:14:00,1,46.9,46.88,685.2,82.6,49.07,,95.58,197902.0,0.7,199.1,63.3,63.7,63.9,0,49.99,246.7,245.1,246.4,0,63.9,2.17,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,595.9,599.2,593.0,588.2,,,,,,,,,,,,,,,,,20.6,20.6,20.7,20.7,,,,,,,,,,,,,,,,,20.6,20.6,20.7,20.7,,,,,,,12.28,12.34,12.28,12.18,,,,,,,595.9,599.2,593.0,588.2,,,,,,,62.0,1.0,0
2023/02/07,13:15:00,1,47.37,47.35,684.3,83.7,49.64,,95.43,197903.0,0.9,200.0,64.5,64.2,64.2,0,49.93,246.5,245.3,246.4,0,64.2,2.27,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,590.6,600.5,594.1,587.1,,,,,,,,,,,,,,,,,21.1,20.8,20.9,20.9,,,,,,,,,,,,,,,,,21.1,20.8,20.9,20.9,,,,,,,12.46,12.49,12.42,12.27,,,,,,,590.6,600.5,594.1,587.1,,,,,,,59.47,1.0,0
2023/02/07,13:16:00,1,47.77,47.75,681.1,84.1,50.08,,95.39,197903.0,0.8,200.8,65.0,64.9,65.0,0,49.99,244.7,243.5,244.8,0,64.2,2.31,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,597.1,600.8,595.0,588.9,,,,,,,,,,,,,,,,,21.0,20.9,21.1,21.1,,,,,,,,,,,,,,,,,21.0,20.9,21.1,21.1,,,,,,,12.54,12.56,12.55,12.43,,,,,,,597.1,600.8,595.0,588.9,,,,,,,60.52,1.0,0
2023/02/07,13:17:00,1,47.55,47.53,684.6,84.0,49.85,,95.39,197904.0,0.8,201.6,64.5,64.4,64.5,0,50.01,245.9,244.2,245.8,0,64.6,2.3,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,594.2,596.1,598.0,585.7,,,,,,,,,,,,,,,,,21.1,20.9,20.9,21.1,,,,,,,,,,,,,,,,,21.1,20.9,20.9,21.1,,,,,,,12.54,12.46,12.5,12.36,,,,,,,594.2,596.1,598.0,585.7,,,,,,,63.45,1.0,0
2023/02/07,13:18:00,1,47.72,47.71,679.9,84.0,49.98,,95.48,197905.0,0.8,202.4,65.2,65.0,65.0,0,50.03,245.0,243.7,244.8,0,64.6,2.26,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,593.9,597.1,603.6,585.7,,,,,,,,,,,,,,,,,21.1,21.0,20.7,21.2,,,,,,,,,,,,,,,,,21.1,21.0,20.7,21.2,,,,,,,12.53,12.54,12.49,12.42,,,,,,,593.9,597.1,603.6,585.7,,,,,,,61.3,1.0,0
2023/02/07,13:19:00,1,47.87,47.85,681.1,84.6,50.05,,95.64,197906.0,0.7,203.1,65.6,65.4,65.6,0,50.08,245.3,243.7,244.7,0,64.5,2.18,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,590.1,599.5,594.9,582.0,,,,,,,,,,,,,,,,,21.3,20.9,21.1,21.3,,,,,,,,,,,,,,,,,21.3,20.9,21.1,21.3,,,,,,,12.57,12.53,12.55,12.4,,,,,,,590.1,599.5,594.9,582.0,,,,,,,63.0,1.0,0
