Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9,ac_power_set,pf_set,power_limit_flag,plant_availability,grid_availability
2023/02/07,13:10:00,10,40.49,40.47,696.6,72.1,42.12,,96.13,172755.0,0.8,176.2,54.1,54.0,54.2,0,49.98,249.2,251.6,248.5,0,61.6,1.63,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,611.5,603.9,509.5,625.6,,,,,,,,,,,,,,,,,19.3,19.8,19.7,13.3,,,,,,,,,,,,,,,,,19.3,19.8,19.7,13.3,,,,,,,11.8,11.96,10.04,8.32,,,,,,,611.5,603.9,509.5,625.6,,,,,,,61.83,1.0,0,100.0,100.0
2023/02/07,13:11:00,10,39.79,39.78,698.4,71.1,41.42,,96.06,172756.0,0.6,176.8,53.0,52.8,53.2,0,49.93,249.6,251.8,249.1,0,61.2,1.63,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,603.7,605.5,504.7,634.8,,,,,,,,,,,,,,,,,19.4,19.4,19.5,12.8,,,,,,,,,,,,,,,,,19.4,19.4,19.5,12.8,,,,,,,11.71,11.75,9.84,8.13,,,,,,,603.7,605.5,504.7,634.8,,,,,,,63.04,1.0,0,100.0,100.0
2023/02/07,13:12:00,10,39.1,39.09,699.3,69.6,40.83,,95.76,172757.0,0.7,177.5,52.2,52.0,52.4,0,49.92,249.4,251.5,248.8,0,61.4,1.73,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,606.2,611.4,510.6,633.9,,,,,,,,,,,,,,,,,19.0,18.9,19.0,12.7,,,,,,,,,,,,,,,,,19.0,18.9,19.0,12.7,,,,,,,11.52,11.56,9.7,8.05,,,,,,,606.2,611.4,510.6,633.9,,,,,,,58.96,1.0,0,100.0,100.0
2023/02/07,13:13:00,10,39.13,39.12,700.4,69.9,40.98,,95.49,172757.0,0.6,178.1,52.2,52.1,52.4,0,49.97,249.4,251.5,248.8,0,62.1,1.85,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,611.5,603.2,509.0,640.2,,,,,,,,,,,,,,,,,18.9,19.2,19.2,12.6,,,,,,,,,,,,,,,,,18.9,19.2,19.2,12.6,,,,,,,11.56,11.58,9.77,8.07,,,,,,,611.5,603.2,509.0,640.2,,,,,,,60.03,1.0,0,100.0,100.0
2023/02/07,13:14:00,10,39.46,39.44,699.0,69.7,41.07,,96.08,172758.0,0.6,178.7,52.6,52.4,52.6,0,49.97,249.8,251.9,248.9,0,62.4,1.61,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,612.6,611.8,509.9,641.2,,,,,,,,,,,,,,,,,18.9,19.0,19.2,12.6,,,,,,,,,,,,,,,,,18.9,19.0,19.2,12.6,,,,,,,11.58,11.62,9.79,8.08,,,,,,,612.6,611.8,509.9,641.2,,,,,,,62.0,1.0,0,100.0,100.0
2023/02/07,13:15:00,10,39.68,39.67,698.7,70.4,41.31,,96.05,172759.0,0.7,179.4,52.9,52.8,53.0,0,49.96,250.0,251.9,249.2,0,63.2,1.63,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,612.7,612.1,510.1,626.1,,,,,,,,,,,,,,,,,19.1,19.1,19.3,12.9,,,,,,,,,,,,,,,,,19.1,19.1,19.3,12.9,,,,,,,11.7,11.69,9.84,8.08,,,,,,,612.7,612.1,510.1,626.1,,,,,,,59.47,1.0,0,100.0,100.0
2023/02/07,13:16:00,10,39.96,39.94,694.6,70.6,41.54,,96.2,172759.0,0.7,180.1,53.7,53.6,53.8,0,49.98,247.6,250.1,247.4,0,63.7,1.58,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,607.8,613.5,512.5,635.8,,,,,,,,,,,,,,,,,19.2,19.2,19.3,12.9,,,,,,,,,,,,,,,,,19.2,19.2,19.3,12.9,,,,,,,11.67,11.78,9.89,8.2,,,,,,,607.8,613.5,512.5,635.8,,,,,,,60.52,1.0,0,100.0,100.0
2023/02/07,13:17:00,10,40.26,40.25,696.0,71.3,41.89,,96.11,172760.0,0.7,180.8,53.8,53.4,53.7,0,50.02,249.0,250.9,248.3,0,64.0,1.63,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,612.8,604.3,510.5,641.4,,,,,,,,,,,,,,,,,19.3,19.6,19.6,12.8,,,,,,,,,,,,,,,,,19.3,19.6,19.6,12.8,,,,,,,11.83,11.84,10.01,8.21,,,,,,,612.8,604.3,510.5,641.4,,,,,,,63.45,1.0,0,100.0,100.0
2023/02/07,13:18:00,10,40.36,40.34,696.0,71.4,42.07,,95.94,172761.0,0.7,181.5,54.2,53.8,54.2,0,50.05,248.1,250.5,247.4,0,63.9,1.71,1.0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,610.6,616.8,508.3,639.3,,,,,,,,,,,,,,,,,19.4,19.3,19.7,13.0,,,,,,,,,,,,,,,,,19.4,19.3,19.7,13.0,,,,,,,11.85,11.9,10.01,8.31,,,,,,,610.6,616.8,508.3,639.3,,,,,,,61.3,1.0,0,100.0,100.0
2023/02/07,13:19:00,10,40.33,40.31,697.8,71.5,41.96,,96.12,172761.0,0.6,182.1,53.8,54.0,54.5,0,50.09,248.3,250.5,247.2,0,63.5,1.63,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,605.9,612.4,511.0,634.5,,,,,,,,,,,,,,,,,19.4,19.5,19.6,13.0,,,,,,,,,,,,,,,,,19.4,19.5,19.6,13.0,,,,,,,11.75,11.94,10.02,8.25,,,,,,,605.9,612.4,511.0,634.5,,,,,,,63.0,1.0,0,100.0,100.0
