Date,Time,freq,fwd_run_secs,i_b,i_r,i_y,kvah_f,kvah_r,kvarh_f,kvarh_r,kwh_f,kwh_f_5min,kwh_f_today,kwh_r,pf,pow_act,pow_app,pow_react,rev_run_secs,v_br,v_ry,v_yb
2023/02/07,11:50:00,50.01,0,624.64,625.89,624.88,1940058.0,9858.0,55068.0,28512.0,1925818.0,8.0,1332.0,814.0,-1.0,456.88,458.84,-9.97,0,424.08,424.27,422.95
2023/02/07,13:10:00,49.98,0,639.97,640.65,640.02,1940676.0,9858.0,55068.0,28526.0,1926436.0,10.0,1948.0,814.0,-1.0,463.21,465.87,-8.92,0,420.18,421.56,418.62
2023/02/07,13:11:00,49.94,0,626.85,627.86,626.71,1940684.0,9858.0,55068.0,28526.0,1926442.0,6.0,1958.0,814.0,-1.0,456.77,458.57,-9.57,0,422.23,423.19,421.06
2023/02/07,13:12:00,49.94,0,617.45,617.99,616.97,1940692.0,9858.0,55068.0,28526.0,1926450.0,8.0,1964.0,814.0,-1.0,449.77,451.67,-7.88,0,422.38,423.47,421.11
2023/02/07,13:13:00,49.97,0,619.38,619.54,618.82,1940698.0,9858.0,55068.0,28526.0,1926458.0,8.0,1972.0,814.0,-1.0,449.22,451.3,-10.61,0,420.71,422.37,419.23
2023/02/07,13:14:00,49.97,0,619.79,620.17,619.06,1940706.0,9858.0,55068.0,28526.0,1926464.0,6.0,1980.0,814.0,-1.0,450.66,452.69,-8.82,0,421.86,422.98,420.47
2023/02/07,13:15:00,49.97,0,624.95,625.94,624.61,1940714.0,9858.0,55068.0,28526.0,1926474.0,10.0,1986.0,814.0,-1.0,454.95,457.06,-8.65,0,422.14,423.01,421.14
2023/02/07,13:16:00,49.99,0,634.58,635.39,634.07,1940722.0,9858.0,55068.0,28526.0,1926480.0,6.0,1996.0,814.0,-1.0,458.09,460.34,-9.49,0,418.76,419.81,417.69
2023/02/07,13:17:00,50.03,0,633.05,633.47,632.93,1940730.0,9858.0,55068.0,28528.0,1926488.0,8.0,2002.0,814.0,-1.0,458.81,460.97,-9.76,0,420.43,421.74,418.86
2023/02/07,13:18:00,50.07,0,636.67,638.16,636.4,1940736.0,9858.0,55068.0,28528.0,1926496.0,8.0,2010.0,814.0,-1.0,459.84,462.43,-12.9,0,419.03,420.0,418.21
2023/02/07,13:19:00,50.07,0,638.47,640.45,638.96,1940744.0,9858.0,55068.0,28528.0,1926504.0,8.0,2018.0,814.0,-1.0,460.8,463.78,-13.36,0,419.21,419.51,417.79
2023/02/07,13:20:00,50.09,0,634.67,635.73,634.77,1940752.0,9858.0,55068.0,28528.0,1926512.0,8.0,2026.0,814.0,-1.0,460.13,462.4,-11.39,0,420.44,421.5,419.21
2023/02/07,13:21:00,50.09,0,629.39,629.37,628.65,1940760.0,9858.0,55068.0,28528.0,1926520.0,8.0,2034.0,814.0,-1.0,459.0,460.64,-10.4,0,422.63,424.2,421.34
2023/02/07,13:22:00,50.08,0,629.59,630.55,629.3,1940768.0,9858.0,55068.0,28528.0,1926526.0,6.0,2042.0,814.0,-1.0,455.66,457.85,-11.21,0,419.63,420.85,418.66
2023/02/07,13:23:00,50.08,0,628.02,627.83,627.3,1940774.0,9858.0,55068.0,28528.0,1926534.0,8.0,2048.0,814.0,-1.0,456.11,457.96,-8.53,0,421.3,422.65,419.68
2023/02/07,13:24:00,50.07,0,630.46,630.97,629.82,1940782.0,9858.0,55068.0,28528.0,1926542.0,8.0,2056.0,814.0,-1.0,456.44,458.36,-12.06,0,419.6,421.22,418.51
2023/02/07,13:25:00,50.05,0,623.6,624.73,624.08,1940790.0,9858.0,55068.0,28528.0,1926550.0,8.0,2064.0,814.0,-1.0,452.11,454.17,-8.42,0,420.27,421.1,418.98
2023/02/07,14:24:00,50.06,0,554.71,555.29,554.16,1941216.0,9858.0,55068.0,28538.0,1926976.0,8.0,2490.0,814.0,-1.0,400.94,402.56,-9.42,0,419.09,419.97,417.89
2023/02/07,14:27:00,50.02,0,555.5,555.53,554.49,1941236.0,9858.0,55068.0,28538.0,1926994.0,6.0,2510.0,814.0,-1.0,402.0,403.86,-8.12,0,419.77,421.34,418.87
2023/02/07,14:28:00,49.98,0,552.61,552.43,551.47,1941242.0,9858.0,55068.0,28538.0,1927002.0,8.0,2516.0,814.0,-1.0,399.61,401.26,-8.74,0,419.56,420.94,418.16
2023/02/07,14:29:00,49.99,0,551.19,550.52,549.99,1941250.0,9858.0,55068.0,28538.0,1927008.0,6.0,2524.0,814.0,-1.0,396.7,398.33,-7.72,0,417.87,419.35,415.92
2023/02/07,14:30:00,49.99,0,545.07,544.44,543.79,1941256.0,9858.0,55068.0,28538.0,1927016.0,8.0,2530.0,814.0,-1.0,393.92,395.2,-7.15,0,419.29,420.47,417.51
