Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9,ac_power_set,pf_set,power_limit_flag,plant_availability,grid_availability
2023/02/07,13:10:00,1,30.73,30.71,748.2,48.3,31.28,,98.24,146847.0,0.5,100.8,38.1,38.0,38.0,0,49.93,263.5,269.1,264.9,0,49.1,0.55,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,626.7,653.7,635.4,666.5,,,,,,,,,,,,,,,,,7.2,7.3,17.1,16.7,,,,,,,,,,,,,,,,,7.2,7.3,17.1,16.7,,,,,,,4.51,4.77,10.87,11.13,,,,,,,626.7,653.7,635.4,666.5,,,,,,,60.5,1.0,0,100.0,100.0
2023/02/07,13:11:00,1,30.99,30.98,747.9,48.7,31.49,,98.41,146847.0,0.5,101.3,38.5,38.2,38.3,0,49.94,263.2,269.2,265.0,0,49.6,0.5,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,621.9,653.2,635.2,666.2,,,,,,,,,,,,,,,,,7.3,7.3,17.2,16.9,,,,,,,,,,,,,,,,,7.3,7.3,17.2,16.9,,,,,,,4.54,4.77,10.93,11.26,,,,,,,621.9,653.2,635.2,666.2,,,,,,,60.5,1.0,0,100.0,100.0
2023/02/07,13:12:00,1,30.37,30.36,749.1,47.8,30.98,,98.03,146848.0,0.6,101.9,37.6,37.5,37.6,0,49.93,263.2,269.3,264.9,0,49.7,0.61,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,626.2,657.9,639.0,662.3,,,,,,,,,,,,,,,,,7.1,7.1,16.8,16.8,,,,,,,,,,,,,,,,,7.1,7.1,16.8,16.8,,,,,,,4.45,4.67,10.74,11.13,,,,,,,626.2,657.9,639.0,662.3,,,,,,,60.5,1.0,0,100.0,100.0
2023/02/07,13:13:00,1,30.36,30.34,749.4,47.9,31.02,,97.87,146848.0,0.5,102.4,37.6,37.5,37.4,0,49.94,264.0,269.6,265.7,0,49.6,0.66,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,622.2,657.8,639.3,662.6,,,,,,,,,,,,,,,,,7.2,7.1,16.8,16.8,,,,,,,,,,,,,,,,,7.2,7.1,16.8,16.8,,,,,,,4.48,4.67,10.74,11.13,,,,,,,622.2,657.8,639.3,662.6,,,,,,,60.5,1.0,0,100.0,100.0
2023/02/07,13:14:00,1,31.23,31.21,750.0,49.3,31.96,,97.72,146849.0,0.5,102.9,38.8,38.6,38.5,0,49.99,264.2,269.9,266.0,0,49.9,0.73,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,617.8,657.4,639.8,666.3,,,,,,,,,,,,,,,,,7.4,7.4,17.3,17.2,,,,,,,,,,,,,,,,,7.4,7.4,17.3,17.2,,,,,,,4.57,4.86,11.07,11.46,,,,,,,617.8,657.4,639.8,666.3,,,,,,,60.5,1.0,0,100.0,100.0
2023/02/07,13:15:00,1,30.54,30.53,748.5,48.3,31.16,,98.01,146849.0,0.5,103.4,38.0,37.8,37.8,0,49.98,263.4,269.4,265.4,0,49.5,0.62,1.0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,618.5,653.6,639.9,658.0,,,,,,,,,,,,,,,,,7.2,7.2,16.9,17.0,,,,,,,,,,,,,,,,,7.2,7.2,16.9,17.0,,,,,,,4.45,4.71,10.81,11.19,,,,,,,618.5,653.6,639.9,658.0,,,,,,,60.5,1.0,0,100.0,100.0
2023/02/07,13:16:00,1,30.95,30.94,749.1,49.2,31.61,,97.91,146850.0,0.5,103.9,38.4,38.2,38.3,0,49.99,263.9,269.7,265.7,0,49.6,0.66,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,621.8,652.9,627.8,662.1,,,,,,,,,,,,,,,,,7.2,7.3,17.6,17.1,,,,,,,,,,,,,,,,,7.2,7.3,17.6,17.1,,,,,,,4.48,4.77,11.05,11.32,,,,,,,621.8,652.9,627.8,662.1,,,,,,,60.5,1.0,0,100.0,100.0
2023/02/07,13:17:00,1,30.12,30.11,748.5,47.6,30.74,,97.98,146850.0,0.5,104.4,37.4,37.2,37.2,0,50.05,263.9,269.4,265.4,0,49.7,0.62,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,618.5,657.5,639.5,658.6,,,,,,,,,,,,,,,,,7.1,7.0,16.7,16.8,,,,,,,,,,,,,,,,,7.1,7.0,16.7,16.8,,,,,,,4.39,4.6,10.68,11.06,,,,,,,618.5,657.5,639.5,658.6,,,,,,,60.5,1.0,0,100.0,100.0
2023/02/07,13:18:00,1,30.24,30.21,750.5,47.8,30.95,,97.71,146851.0,0.5,104.9,37.4,37.3,37.4,0,50.04,263.8,269.8,265.7,0,49.8,0.71,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,625.9,653.1,639.2,662.4,,,,,,,,,,,,,,,,,7.0,7.1,16.9,16.8,,,,,,,,,,,,,,,,,7.0,7.1,16.9,16.8,,,,,,,4.38,4.64,10.8,11.13,,,,,,,625.9,653.1,639.2,662.4,,,,,,,60.5,1.0,0,100.0,100.0
2023/02/07,13:19:00,1,29.88,29.86,750.0,47.1,30.32,,98.55,146851.0,0.3,105.2,36.8,36.6,36.7,0,50.04,263.6,269.6,265.4,0,49.7,0.44,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,622.2,654.0,630.1,661.9,,,,,,,,,,,,,,,,,7.0,7.0,16.5,16.6,,,,,,,,,,,,,,,,,7.0,7.0,16.5,16.6,,,,,,,4.36,4.58,10.4,10.99,,,,,,,622.2,654.0,630.1,661.9,,,,,,,60.5,1.0,0,100.0,100.0
